"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_001","ACCT_011A","ACCT_011B1","ACCT_011B2","ACCT_013A","ACCT_013B1","ACCT_013B2","ACCT_014","ACCT_017","ACCT_018A","ACCT_018B1","ACCT_018B2","ACCT_021A","ACCT_022A","ACCT_023A","ACCT_041A","ACCT_058A","ACCT_058B1","ACCT_058B2","ACCT_062","ACCT_063","ACCT_076","ACCT_077","ACCT_078","ACCT_079","ACCT_081","ACCT_082","ACCT_090","ACCT_099","ACCT_110","ACCT_119","ACCT_120","ACCT_124","ACCT_125A","ACCT_125B","ACCT_125C","ACCT_125D","ACCT_125E","ACCT_126A","ACCT_126B","ACCT_126C","ACCT_126D","ACCT_126E","ACCT_131","ACCT_132","ACCT_133","ACCT_134","ACCT_135","ACCT_140","ACCT_142","ACCT_143","ACCT_144","ACCT_210","ACCT_230","ACCT_250","ACCT_260","ACCT_270","ACCT_280","ACCT_290","ACCT_305","ACCT_310","ACCT_314","ACCT_315","ACCT_320","ACCT_360","ACCT_370","ACCT_381","ACCT_384","ACCT_385","ACCT_389","ACCT_391","ACCT_393","ACCT_395","ACCT_396","ACCT_397","ACCT_399","ACCT_420","ACCT_430","ACCT_440","ACCT_451","ACCT_452","ACCT_453","ACCT_454","ACCT_455","ACCT_458","ACCT_460","ACCT_463","ACCT_475","ACCT_481","ACCT_482","ACCT_532","ACCT_547","ACCT_548","ACCT_549","ACCT_553","ACCT_554","ACCT_555","ACCT_560","ACCT_561","ACCT_564A","ACCT_564B","ACCT_593","ACCT_594","ACCT_595","ACCT_596","ACCT_599","ACCT_002","ACCT_115","ACCT_116","ACCT_117","ACCT_350","ACCT_565","Acct_661A","Acct_769A","Acct_769B","Acct_820A","Acct_954","Acct_925A","Acct_925B1","Acct_925B2","Acct_010A","Acct_010B","Acct_010C","Acct_730A","Acct_730B","Acct_730C","Acct_799I","Acct_814A","Acct_889A","Acct_889B","Acct_892A","Acct_892B","Acct_945A","Acct_945B","Acct_996","Acct_997","Acct_998","Acct_999","ACCT_779A","ACCT_785A","ACCT_798A","ACCT_814B","ACCT_865A","ACCT_900A","ACCT_900B","ACCT_900C","ACCT_900D","ACCT_900F","ACCT_903","ACCT_904","ACCT_905","ACCT_906","ACCT_961A","ACCT_972A","ACCT_972B","ACCT_972C","ACCT_972D","ACCT_972E","ACCT_973A","ACCT_973B","ACCT_976B","ACCT_982A","ACCT_982B","ACCT_982C","ACCT_982D","ACCT_982E","ACCT_983A","ACCT_983B","ACCT_986B","ACCT_617A","ACCT_618A","ACCT_718A","ACCT_617B","ACCT_617C","ACCT_618B","ACCT_618C","ACCT_883A","ACCT_883B1","ACCT_883B2","ACCT_883C","ACCT_881","ACCT_882","ACCT_822","ACCT_567","ACCT_568","ACCT_020C","ACCT_021C","ACCT_022C","ACCT_023C","ACCT_041C","ACCT_020D","ACCT_021D","ACCT_022D","ACCT_023D","ACCT_041D","ACCT_713A","ACCT_714A","ACCT_715A","ACCT_716A","ACCT_020E","ACCT_021E","ACCT_022E","ACCT_023E","ACCT_041E","ACCT_020F","ACCT_021F","ACCT_022F","ACCT_023F","ACCT_041F","ACCT_065A","ACCT_065B","ACCT_065C","ACCT_065D","ACCT_065E","ACCT_067A","ACCT_067B","ACCT_067C","ACCT_550J","ACCT_550K","ACCT_550L","ACCT_551J","ACCT_551K","ACCT_551L","ACCT_029A","ACCT_029B","ACCT_029C","ACCT_029D","ACCT_029E","ACCT_030A","ACCT_030B","ACCT_030C","ACCT_030D","ACCT_030E","ACCT_032A","ACCT_032B","ACCT_032C","ACCT_032D","ACCT_032E","ACCT_704F1","ACCT_704F2","ACCT_704F3","ACCT_704F4","ACCT_811B","ACCT_PP0027","ACCT_PP0029","ACCT_PP0031"
1,12/31/2023 0:00:00,2,0,0,0,0,7657395,2094390,0,11048388,0,7657395,2094390,0,0,0,0,0,0,0,0,0,92022,2,0,0,0,0,0,0,0,455345,0,64110,0,0,0,0,0,0,0,0,0,0,0,35991,0,0,0,0,0,0,0,0,174064,44769,16446,170003,977,8998,6010,0,0,0,0,1916,7369,3812246,0,0,2403040,0,0,0,0,0,867844,0,0,0,0,103,325,0,1285,63,0,1776,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,519455,0,88787,102991,0,43840,0,2698,0,0,0,0,0,0,0,0,68291,1023845,0,0,0,0,0,0,0,0,0,0,1292517,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,17576,1656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12/31/2023 0:00:00,7,0,0,0,0,194557199,6023656,848709,266912068,0,196540199,8702656,28923709,0,0,0,251,0,0,0,0,122022,2,0,0,0,0,0,0,0,12587101,0,1365576,0,0,0,0,0,0,0,0,0,0,0,1724602,0,0,0,0,0,0,0,0,7153645,343702,574698,4721774,351333,803742,297359,0,0,0,0,41910,92658,62170767,0,0,36114278,0,0,0,0,18781505,26668842,0,0,2838,1616601,972,14343,447,33870,219,112,82700,0,0,0,0,0,0,0,0,0,0,0,0,0,92,6,0,0,0,0,0,0,13952677,0,5336734,1591120,0,1631711,0,394546,172968,0,7000000,0,0,0,0,0,5000216,16434914,0,0,0,0,0,0,0,0,0,0,30096725,1128,0,0,0,67500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,3622319,0,0,0,0,0,0,0,7000000,7000000,21560000,0,0,7726275,1678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12/31/2023 0:00:00,11,0,0,0,0,51058546,1006246,279602,59579901,0,51058546,1006246,279602,0,0,0,149,0,0,0,0,32023,2,0,0,0,0,0,0,0,2522715,0,612615,0,0,0,0,0,0,0,0,0,0,0,1364340,0,0,0,0,0,0,0,0,1934895,96127,475954,666164,63921,666110,593429,0,0,0,0,10171,18516,4321388,0,0,3802581,0,0,0,0,3749918,8394376,0,0,0,22337,160,6193,168,15006,575,359,22461,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,0,0,0,0,0,0,3135330,0,2465310,254443,0,345355,0,180000,4413,0,0,0,0,0,0,0,616717,120126,0,0,0,0,0,0,0,0,-1398769,0,5919488,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000,0,0,2500000,9000000,0,0,6386316,1721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,12/31/2023 0:00:00,12,0,0,0,0,520280656,113162241,165149333,1021395443,0,535230865,159903241,190541333,0,0,0,158,0,0,0,0,122022,2,0,0,0,0,0,0,0,40583283,0,3144659,0,0,0,0,0,0,0,0,0,0,0,5121252,0,0,0,0,0,0,0,0,11131829,133944,866741,6817948,423730,1899149,674129,0,0,0,0,132328,72157,286798778,0,0,287899831,0,0,0,0,10164779,21137907,0,0,-25750,0,7727,32254,2198,70714,80,483,113479,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,43727942,0,11344047,20992042,0,10446571,0,0,0,0,15000000,0,0,0,0,0,6754979,70177030,0,0,0,0,0,0,0,0,-1073834,0,100636911,984,0,48831813,0,512067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18966,534155981,0,0,0,0,0,0,23000000,7000000,30000000,425423522,0,0,383451,1658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2086596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,12/31/2023 0:00:00,14,0,0,0,0,8031104,0,0,9293306,0,8031104,0,0,0,0,0,2,0,0,0,0,22023,2,0,0,0,0,0,0,0,175867,0,162258,0,0,0,0,0,0,0,0,0,0,0,33137,0,0,0,0,0,0,0,0,204157,0,3600,52036,805,73872,17342,0,0,0,0,1702,719,1407963,0,0,966471,0,0,0,0,131967,280167,0,0,0,0,40,345,7,1128,0,0,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,338125,0,64904,15088,0,33708,0,40342,6930,0,0,0,0,0,0,0,132776,-16697,0,0,0,0,0,0,0,0,0,0,1269029,1366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,12/31/2023 0:00:00,16,0,0,0,0,6868815,0,0,9783158,0,6868815,0,0,0,0,0,1,0,0,0,0,62023,3,0,0,0,0,0,0,0,99104,0,205883,0,0,0,0,0,0,0,0,0,0,0,1435,0,0,0,0,0,0,0,0,81374,0,15030,6552,229,5302,24757,0,0,0,0,1687,2993,843055,0,0,260856,0,0,0,0,0,434062,0,0,0,0,0,0,0,1825,0,0,1825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,304987,0,1435,70651,0,97847,2857,0,0,0,0,0,0,0,0,0,30,567568,0,0,0,0,0,0,0,0,0,0,2912973,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12/31/2023 0:00:00,17,0,0,0,0,259161238,7968902,1029093,318439823,0,259161238,7968902,1029093,0,0,0,12,0,0,0,0,92023,2,0,0,0,0,0,0,0,12276895,0,2209695,0,0,0,0,0,0,0,0,0,0,0,287989,0,0,0,0,0,0,0,0,3265692,88792,403152,1631275,260892,1253591,538009,0,427524,0,0,51962,131397,49168017,0,0,19785792,0,0,0,0,14862734,14616853,0,0,0,0,3610,10878,1358,23038,0,1594,40478,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,14486590,0,2125015,2980455,0,5578864,0,0,411833,0,0,0,0,0,0,0,968445,21593787,0,0,0,0,0,0,0,0,-7379,0,48924675,1534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20277220,0,0,101603,1651.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,12/31/2023 0:00:00,19,0,0,0,0,17632864,1007813,0,20849245,0,17632864,1007813,0,0,0,0,0,0,0,0,0,122022,3,0,0,0,0,0,0,0,313936,0,259857,0,0,0,0,0,0,0,0,0,0,0,135812,0,0,0,0,0,0,0,0,237453,332,35710,78882,8036,2397,172173,0,0,0,0,3643,27839,1397314,0,0,2511843,0,0,0,0,300411,175448,0,0,0,0,106,621,0,1198,28,0,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,573793,0,135812,23993,0,110200,0,111464,0,0,0,0,0,0,0,0,321133,811980,0,0,0,0,0,0,0,0,0,0,2107245,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,38450,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,12/31/2023 0:00:00,21,0,0,0,0,911219894,96974540,1414765,1304390365,0,917195894,133248540,1414765,0,0,0,882,0,0,0,0,62023,2,0,0,0,0,0,0,0,65322825,0,14838634,0,0,0,0,0,0,0,0,0,0,0,12856212,0,0,0,0,0,0,0,0,29195524,816056,3531556,4991578,1481330,1931884,5895379,0,0,0,0,179763,1752649,368392646,0,0,43255767,0,0,0,0,8187,63026330,0,0,9527,213690,10680,55659,2974,119035,0,9071,239919,0,0,0,0,0,0,0,0,0,0,0,0,0,299,25,0,0,0,0,0,0,80161459,0,20083019,32253827,0,11964153,0,5359,58243,0,0,0,0,0,0,1263609818,6962179,15689306,0,0,0,0,0,0,0,0,-2337274,0,119380442,941,0,377013733,0,566276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16085,320667941,0,0,0,0,0,75702700,45324651,0,121027351,597186597,0,0,54065862,1687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7843298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,12/31/2023 0:00:00,29,0,0,0,0,123051181,2509409,822486,142656036,0,123051181,2509409,822486,0,0,0,175,0,0,0,0,92022,3,0,0,0,0,0,0,0,3852010,0,1566557,0,0,0,0,0,0,0,0,0,0,0,1257385,0,0,0,0,0,0,0,0,1883213,46859,205094,607110,98125,279977,1304999,0,70543,0,0,23806,44553,8809726,0,0,16282100,0,0,0,0,3251862,4247357,0,0,-10432,-142535,711,8678,426,16546,48,276,26685,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0,5418567,0,1509886,560947,0,1732698,0,66000,6975,0,0,0,0,0,0,0,1817453,9547770,0,0,0,0,0,0,0,0,0,0,14827446,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18888,0,0,0,0,0,0,0,0,0,10000000,0,0,346796,1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12/31/2023 0:00:00,30,0,0,0,0,48357153,1196685,0,56422933,0,48357153,1196685,0,0,0,0,3,0,0,0,0,102022,3,0,0,0,0,0,0,0,1090461,0,528785,0,0,0,0,0,0,0,0,0,0,0,55293,0,0,0,0,0,0,0,0,660705,11643,68258,134341,13387,9763,354926,0,0,0,0,9110,29763,6550429,0,0,3100487,0,0,0,0,498711,713062,0,0,0,313029,431,1445,59,2718,0,394,5047,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1619246,0,368322,436514,0,239158,0,0,0,0,0,0,0,0,0,0,294411,5630237,0,0,0,0,0,0,0,0,0,0,6458404,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700000,0,0,344208,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,12/31/2023 0:00:00,31,0,0,0,0,51466836,934980,11952,64978307,0,51466836,934980,11952,0,0,0,31,0,0,0,0,62023,3,0,0,0,0,0,0,0,1463962,0,675979,0,0,0,0,0,0,0,0,0,0,0,199503,0,0,0,0,0,0,0,0,1019021,120431,122700,245989,27896,30084,780493,0,0,0,0,10600,25548,8573850,0,0,4505022,0,0,0,0,1099588,4199180,0,0,0,156178,294,2499,111,4450,548,0,7902,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,2139941,0,791862,484360,0,-85381,0,155000,0,0,0,0,0,0,0,0,529135,4768945,0,0,0,0,0,0,0,0,-989022,0,13345349,2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6144000,0,0,2417007,1741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,12/31/2023 0:00:00,32,0,0,0,0,6948877958,323223901,34983643,9026817759,0,6948977958,323223901,34983643,0,0,0,1967,0,0,0,0,122022,3,0,0,0,0,0,0,0,301829328,0,35684702,0,0,0,0,0,0,0,0,0,0,0,35058221,0,0,0,0,0,0,0,0,159293477,1679109,20490188,32857310,5113725,13952251,39740914,0,0,0,0,612072,11068675,284821970,0,0,1231929292,0,0,0,0,200555733,237943518,0,0,161017,0,45405,401268,13681,691022,8621,64117,1224117,0,0,0,0,0,0,0,0,0,0,0,0,0,1469,63,0,0,0,0,0,0,337514030,0,97664885,111651384,0,24748145,0,396162,18366,0,0,0,0,0,0,8554354399,114066877,439627533,0,0,0,0,0,0,0,0,0,0,735922608,859,0,3565120192,0,1779136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31468,707487279,0,0,0,0,0,1000000000,2040116,0,1002040116,2705624753,0,0,71353736,1675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5167736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,12/31/2023 0:00:00,33,0,0,0,0,59917120,81986,26857,65702405,0,59917120,81986,26857,0,0,0,38,0,0,0,0,122022,3,0,0,0,0,0,0,0,1986948,0,729925,0,0,0,0,0,0,0,0,0,0,0,281704,0,0,0,0,0,0,0,0,1038783,4859,151568,238699,15000,183229,894067,0,0,0,0,11980,26531,5269840,0,0,2348305,0,0,0,0,2269237,1498796,0,0,0,0,149,3854,124,5841,0,56,10024,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,2716873,0,611587,65440,0,599583,0,80000,0,0,0,0,0,64972041,0,0,662101,2425683,0,0,0,0,0,0,0,0,-740034,0,5435692,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000,0,0,46246,1633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,12/31/2023 0:00:00,35,0,0,0,0,368010067,22049758,1015786,458283005,0,368010067,22049758,1015786,0,0,0,233,0,0,0,0,32023,3,0,0,0,0,0,0,0,15720727,0,2557749,0,0,0,0,0,0,0,0,0,0,0,1910570,0,0,0,0,0,0,0,0,9261500,90939,1151939,1009356,702170,838300,3647710,0,0,0,0,72328,248580,102885471,0,0,13585049,0,0,0,0,10527301,7521521,0,0,0,0,2869,21280,945,30553,5026,3220,63893,0,0,0,0,0,0,0,0,0,0,0,0,0,128,7,0,0,0,0,0,0,18278476,0,6141660,4221657,0,2463513,0,179536,278502,0,0,0,0,0,0,0,4451396,30325812,0,0,0,0,0,0,0,0,-6154075,0,50744284,1106,0,0,0,427100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2308,34969175,0,0,0,0,0,20622800,0,0,20622800,86630416,0,0,13823283,1751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,12/31/2023 0:00:00,41,0,0,0,0,195252746,500480,170310,208975459,0,195252746,500480,170310,0,0,0,27,0,0,0,0,62023,3,0,0,0,0,0,0,0,5545172,0,1468055,0,0,0,0,0,0,0,0,0,0,0,2875410,0,0,0,0,0,0,0,0,5404759,62099,381678,1684725,527397,311354,700161,0,-3016,0,0,35547,69872,69532617,0,0,26539169,0,0,0,0,0,2242406,0,0,0,81852,1251,10620,344,15278,1931,280,29704,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1,0,0,0,0,0,0,7013227,0,3213995,825694,0,159547,0,775363,260437,0,0,0,0,0,0,0,2082465,18928904,0,0,0,0,0,0,0,0,-168312,0,16557875,792,0,0,0,141601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,4626727,0,0,0,0,0,0,0,0,0,32035657,0,0,1384443,1687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,12/31/2023 0:00:00,43,0,0,0,0,711380161,39708230,19088467,853898193,0,711482466,39708230,19088467,0,0,0,235,0,0,0,0,122022,2,0,0,0,0,0,0,0,28420808,0,6638799,0,0,0,0,0,0,0,0,0,0,0,4941650,0,0,0,0,0,0,0,0,15673336,196695,2550921,4553646,1121360,875936,3395677,0,0,0,0,139192,564348,131081378,0,0,132722210,0,0,0,0,13992806,31090370,0,0,-13520,206869,6156,31503,1450,34301,160,2124,75696,0,0,0,0,0,0,0,0,0,0,0,0,0,178,2,0,0,0,0,0,0,35059607,0,10328424,9532565,0,4607328,0,0,633838,0,0,0,0,0,0,0,6943096,40039567,0,0,0,0,0,0,0,0,0,0,84912811,993,0,0,0,68225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10815,241706526,0,0,0,0,0,8000000,0,0,8000000,284103361,0,0,6668468,1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1274189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,12/31/2023 0:00:00,46,0,0,0,0,249817084,4553327,801169,295399987,0,249817084,4553327,801169,0,0,0,347,0,0,0,0,122022,3,0,0,0,0,0,0,0,12065729,0,2034479,0,0,0,0,0,0,0,0,0,0,0,994521,0,0,0,0,0,0,0,0,4356708,76705,709918,2842477,183008,768402,191356,0,0,0,0,49777,372346,98437445,0,0,11592098,0,0,0,0,2762194,3002218,0,0,0,0,888,12959,551,21617,0,759,36774,0,0,0,0,0,0,0,0,0,0,0,0,0,51,7,0,0,0,0,0,0,14100208,0,3130051,1841320,0,4662899,0,0,32270,0,0,0,0,0,0,0,802993,30170112,0,0,0,0,0,0,0,0,0,0,33848857,1146,0,30040210,0,672559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5362,81458945,0,0,0,0,0,0,0,0,0,25647436,0,0,2258867,1724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2816608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,12/31/2023 0:00:00,49,0,0,0,0,3566064,0,0,8658535,0,3566064,0,0,0,0,0,13,0,0,0,0,92023,3,0,0,0,0,0,0,0,198117,0,100587,0,0,0,0,0,0,0,0,0,0,0,12272,0,0,0,0,0,0,0,0,211543,3647,0,49389,0,6696,32961,0,0,0,0,1525,4106,1129116,0,0,2346030,0,0,0,0,237409,297016,0,0,0,0,0,0,11,1439,63,0,1513,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,298704,0,26191,9243,0,5785,0,60272,0,0,0,0,0,0,0,0,88157,832125,0,0,0,0,0,0,0,0,0,0,5104043,5868,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,12/31/2023 0:00:00,54,0,0,0,0,10139536,474011,0,12612419,0,10139536,474011,0,0,0,0,0,0,0,0,0,82023,2,0,0,0,0,0,0,0,199498,0,104956,0,0,0,0,0,0,0,0,0,0,0,3738,0,0,0,0,0,0,0,0,172909,545,8089,65784,72,2473,9243,0,0,0,0,2362,6286,1016288,0,0,1421523,0,0,0,0,0,870303,0,0,0,17080,35,197,0,1267,0,0,1499,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,304454,0,20818,23712,0,42311,15800,0,0,0,0,0,0,0,0,0,200,748268,0,0,0,0,0,0,0,0,0,87419,1985910,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,12/31/2023 0:00:00,57,0,0,0,0,60415990,2421654,1072169,75928276,0,60415990,2421654,1072169,0,0,0,96,0,0,0,0,92023,3,0,0,0,0,0,0,0,1543961,0,1137082,0,0,0,0,0,0,0,0,0,0,0,182827,0,0,0,0,0,0,0,0,801291,7475,175310,972986,59177,111037,77292,0,0,0,0,13994,31047,11540353,0,0,1131203,0,0,0,0,1920822,2432170,0,0,0,66420,473,3704,455,7882,0,423,12937,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2681043,0,554733,493282,0,455825,0,239307,0,0,0,0,0,0,0,0,735225,3466621,0,0,0,0,0,0,0,0,0,0,11795943,1554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,3919375,0,0,0,0,0,0,0,0,0,6900000,0,0,586717,1755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
